,dialogue_id,turn,text,role,topic,intent,sentiment,urgency
3845,1096,1,"Здравствуйте, Будьте добры, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,neutral,4
3847,1096,3,"Не могли бы вы подсказать: понял, спасибо за помощь. Буду признателен за скорый ответ.",client,technical_issue,gratitude,positive,2
3849,1097,1,"Видео на сайте не воспроизводится, кутится загрузка.",client,technical_issue,technical_issue_issue,neutral,3
3851,1097,3,"Подскажите, пожалуйста: пробовал перезагрузить страницу — не помогло. Спасибо, что разбираетесь.",client,technical_issue,response,neutral,1
3854,1098,2,"Привет, я тут не сильно рзбираюсь, но сайт стаал очень медленно работать после обновления.",client,technical_issue,response,negative,3
3856,1099,1,Не приходят уведомления о статусе заказа. Буду признателен за скорый ответ.,client,technical_issue,technical_issue_issue,neutral,3
3858,1099,3,"Интернет стабильный, проверял на других сайтах. Заранее благодарен за содействие.",client,technical_issue,response,neutral,1
3860,1100,1,"Кнопка оформления заказа не работает, ничего не происходит. Времени на это у меня немного.",client,technical_issue,technical_issue_issue,neutral,4
3862,1100,3,Добрый день. могу прислать скриншот с ошибкой.,client,technical_issue,response,neutral,2
3863,1101,1,"Здравствуйте, ну вот, кнопка оформления заказа не рабоает, ничего не происходит. В наше время такого бардака не было!...",client,technical_issue,technical_issue_issue,negative,3
3865,1102,1,Сайт стал очень медленно работать после обновления.,client,technical_issue,technical_issue_issue,neutral,4
3867,1102,3,"К делу: интернет стабильный, проверял на других сайтах.",client,technical_issue,response,neutral,2
3868,1103,1,"Опять двадцать пять, форрма обратной связи не отправляется, выдаёт ошибку. В наше время такого бардака не было!",client,technical_issue,technical_issue_issue,neutral,4
3870,1103,3,"Телефон Xiaomi Redmi Note 12, приложение последней версии. В наше время такого бардака не было!...",client,technical_issue,response,neutral,2
3872,1104,1,Не получается загрузить фото в личном кабинете.,client,technical_issue,technical_issue_issue,neutral,3
3874,1104,3,"Добрый день! поняла, спасибо огромное.",client,technical_issue,gratitude,positive,1
3876,1105,1,"Здрасте, Не могли бы вы подсказать: видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,3
3878,1105,3,Переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,1
3881,1106,2,"Прривет, third раз пишу, не открывается история заказов в приложении. Дети под ногами, времени разбираться нет.",client,technical_issue,response,neutral,4
3884,1107,2,"Я тут не сильно разбирюась, но поиск на сайте перестал показывать результаты. Объясните, пожалуйста, попроще...",client,technical_issue,response,neutral,4
3886,1108,1,Страница корзины не загружается уже второй день. Иначе буду писать жалобу.,client,technical_issue,technical_issue_issue,neutral,3
3888,1108,3,"Немедленно нужно решить: ошибка появляется каждый раз, не только один раз!",client,technical_issue,response,neutral,1
3890,1109,1,"Здравствуйте, Будьте добры, приложение постоянно вылетает при открытии каталога.",client,technical_issue,technical_issue_issue,neutral,3
3892,1109,3,Не могли бы вы подсказать: пробовал перезагрузить страницу — не помогло.,client,technical_issue,response,neutral,1
3893,1110,1,"Здравствуйте, ну вот, не приходят уведомления о статуес заказа. Совсем распустились!",client,technical_issue,technical_issue_issue,neutral,3
3895,1110,3,"Опять двадццать пять, могу прислать скриншот с ошибкой.",client,technical_issue,response,neutral,1
3897,1111,1,"Здрасте, вот ведь незадача... не получается загрузить фото в личном кабинете. Внучка обычно помогает, а её сейчас нет рядом.",client,technical_issue,technical_issue_issue,neutral,3
3899,1111,3,"Снок, хорошо, спасибо за ответ.",client,technical_issue,gratitude,positive,1
3901,1112,1,"Прошу прощения за беспокойство, приложение постоянно вылетает при открытии каталога.",client,technical_issue,technical_issue_issue,neutral,3
3903,1112,3,"Не могли бы вы подсказать: ошибка появляется каждый раз, не только один раз.",client,technical_issue,response,neutral,1
3904,1113,1,"Кнопка оформления заказа не работает, ничего не происходит. Надеюсь, всё решаемо.",client,technical_issue,technical_issue_issue,neutral,4
3906,1113,3,"Не хочу показаться навязчивым, но интернет стабильный, проверял на других сайтах.",client,technical_issue,response,neutral,2
3908,1114,1,"К делу: форма обратной связи не отправляется, выдаёт ошибку.",client,technical_issue,technical_issue_issue,neutral,3
3910,1115,1,"Здравствуйте, Смотрите, страница корзины не загружается уже второй день.",client,technical_issue,technical_issue_issue,neutral,4
3912,1115,3,"Смотрите, отлично, спасибо за оперативность.",client,technical_issue,gratitude,positive,2
3914,1116,2,Сын подсказал написать вам: не открывается история заказов в приложении.,client,technical_issue,response,negative,3
3916,1116,4,"Хорошо, договорились. Объясните, пожалуйста, попроще...",client,technical_issue,acknowledgment,neutral,2
3917,1117,1,"Коллеги, не приходят уведомления о статусе заказа.",client,technical_issue,technical_issue_issue,negative,4
3919,1117,3,"Коллеги, переустанавливал приложение — ситуация та же.",client,technical_issue,response,neutral,2
3920,1118,1,Добрый день. поиск на сайте перестал показывать результаты. Прошу решить оперативно.,client,technical_issue,technical_issue_issue,neutral,4
3922,1118,3,"К делу: телефон Pixel 7, приложение последней версии. Времени на это у меня немного.",client,technical_issue,response,neutral,2
3924,1119,1,"Здравствуйте, видео на сайте не воспроизводится, крутится загрузка. Надеюсь, всё решаемо.",client,technical_issue,technical_issue_issue,neutral,3
3926,1119,3,"Я уже начал переживать, пробовал перезагрузить страницу — не помогло.",client,technical_issue,response,neutral,1
3928,1120,1,Сайт стал очень медлено работать после обновления.,client,technical_issue,technical_issue_issue,negative,3
3930,1120,3,"Я тут не сильно разбираюсь, но переустанавливал приложение — ситуация та же.",client,technical_issue,response,neutral,1
3932,1121,1,"Опять двадцать пять, сайт стал очень медленно работать после оббновления.",client,technical_issue,technical_issue_issue,negative,3
3934,1121,3,"Опять двадцать пять, ошибка появляется каждый раз, не только один раз. Совсем распустились.",client,technical_issue,response,neutral,1
3937,1122,2,"Привет, Немедленно нужно решить: приложение постоянно вылетает при открытии каталога.",client,technical_issue,response,neutral,4
3939,1123,1,"Привет, не получается загрузить фото в личном кабинете. Жду решения в ближайшее время.",client,technical_issue,technical_issue_issue,negative,3
3941,1123,3,Немедленно нужно решить: могу прислать скриншот с ошибкой. Жду решеения в ближайшее время.,client,technical_issue,response,neutral,1
3943,1124,1,"Добрый день, страница корзины не загружается уже второй день.",client,technical_issue,technical_issue_issue,negative,3
3945,1124,3,"Простите, дописываю на бегу, интернет стабильный, проверял на других саайтах!",client,technical_issue,response,neutral,1
3947,1125,1,"Форма обратной связи не отправляется, выдаёт ошибку 🙏",client,technical_issue,technical_issue_issue,neutral,4
3949,1126,1,"Видео на сайте не воспроизводится, крутится загрузка!",client,technical_issue,technical_issue_issue,neutral,3
3951,1126,3,"Сынок, телефон Xiiaomi Redmi Note 12, приложение последней версии. Внучка обычно помогает, а её сейчас нет рядом.",client,technical_issue,response,neutral,1
3953,1127,1,"Корое, не приходят уведомления о стаутсе заказа. как так вообще.",client,technical_issue,technical_issue_issue,neutral,3
3955,1127,3,"Короче, проббовал перезагрузить страницу — не поммогло. это вообще норм?",client,technical_issue,response,neutral,1
3958,1128,2,"Прошу прощения за беспокойство, кнопка оформления заказа не работает, ничего не происходит. Заранее благодарен за содействие.",client,technical_issue,response,negative,4
3960,1128,4,"Принято, спасибо за информацию.",client,technical_issue,acknowledgment,neutral,3
3961,1129,1,"Привет, опять двадцать пять, поиск на сайте перестал показывать результаты!",client,technical_issue,technical_issue_issue,neutral,4
3963,1129,3,"Интернет стабильный, проверял на других сайтах.",client,technical_issue,response,neutral,2
3966,1130,2,"Здравствуйте, деточка, не открывается история заказов в приложении.",client,technical_issue,response,negative,4
3968,1130,4,"Ой, простите за беспокойство, хорошо, договорились.",client,technical_issue,acknowledgment,neutral,3
3969,1131,1,"Привет, Это уже недопустимо. сайт стал очень меделнно работать после обновления. Жду решения в ближайшее время.",client,technical_issue,technical_issue_issue,negative,4
3971,1131,3,"Немедленно нужно решить: супер, спасибо!",client,technical_issue,gratitude,positive,2
3973,1132,1,"Слушайте, поиск на сайте перестал показывать резульатты. Уже нервы на пределе!",client,technical_issue,technical_issue_issue,neutral,3
3975,1132,3,"Слушайте, пробовал перезагрузить страницу — не помогло. Уже нервы на пределе!",client,technical_issue,response,neutral,1
3977,1133,1,"Здрасте, Коллеги, не открывается история заказов в приложении.",client,technical_issue,technical_issue_issue,neutral,4
3979,1133,3,Могу прислать скриншот с ошибкой.,client,technical_issue,response,neutral,2
3980,1134,1,"Внезапно (нет), кнопка оформления заказа не работает, ничего не происходит.",client,technical_issue,technical_issue_issue,negative,4
3982,1135,1,"Добрый день, Коллеги, видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,4
3984,1135,3,Переустанавливал приложение — ситуация та же. Могу описать шаги воспроизведения.,client,technical_issue,response,neutral,2
3987,1136,2,"Здрасте, не хочу показаться навязчивым, но не получается загрузить фото в личном кабинете. Простите за настойчивость, просто переживаю...",client,technical_issue,response,neutral,3
3989,1136,4,"Меня это очень бепокоит, хорошо, поняла, буду ждать. Простите за настойчивость, просто переживаю.",client,technical_issue,acknowledgment,neutral,2
3990,1137,1,Добрый день! приложение постоянно вылетает при открытии каталога.,client,technical_issue,technical_issue_issue,neutral,4
3992,1138,1,"Фрма оббратной связи не отправляется, выдаёт ошибку. Помогите пожалуйста, очень надо!! 💛",client,technical_issue,technical_issue_issue,neutral,4
3994,1139,1,"Простите, дописываю на бгеу, страница корзины не загружается уже второй день.",client,technical_issue,technical_issue_issue,neutral,4
3996,1140,1,К делу: не приходят уведомления о статусе заказа. Времени на это у меня немного.,client,technical_issue,technical_issue_issue,neutral,4
3998,1140,3,"Телефон Xiaomi Redmi Note 12, приложение последней версии.",client,technical_issue,response,neutral,2
4000,1141,1,"Здрасте, Добрый день. кнопка оформления заказа не работает, ничего не происходит.",client,technical_issue,technical_issue_issue,neutral,4
4002,1141,3,"К делу: благодарю, выручили. Времени на это у меня немного.",client,technical_issue,gratitude,positive,2
4003,1142,1,"Простите что беспокю, видео на сйате не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,negative,3
4005,1142,3,"Простите что беспокою, ошибка появляется каждый раз, не только один раз. Помогите пожалуйста, очень надо!!",client,technical_issue,response,neutral,1
4008,1143,2,"Да сколько можно, не пирходят уведомления о статусе заказа. Уже нервы на пределе.",client,technical_issue,response,negative,3
4010,1143,4,"Да сколько моно, ладно, тогда подожду. Дети под ногами, времени разбираться нет.",client,technical_issue,acknowledgment,neutral,2
4011,1144,1,Не могли бы вы подсказать: приложение постоянно вылетает при открытии каталога.,client,technical_issue,technical_issue_issue,neutral,3
4013,1144,3,"Будьте добры, интернет стабильный, проверял на других сайтах.",client,technical_issue,response,neutral,1
4015,1145,1,"Добрый день, внезапно (нет), сайт стал очень медленно работать после обновления.",client,technical_issue,technical_issue_issue,neutral,3
4017,1145,3,"Ну красота просто, отличо, спасибо за оперативность.",client,technical_issue,gratitude,positive,1
4019,1146,1,Страница корзины не загружается уже второй день.,client,technical_issue,technical_issue_issue,neutral,4
4021,1146,3,"Подскажите, пожалуйста: спасибо, вопрос решён.",client,technical_issue,gratitude,positive,2
4023,1147,1,"А можно воппрос, форма обратной связи не отправляется, выдаёт ошибку...",client,technical_issue,technical_issue_issue,neutral,3
4025,1148,1,"Здравствуйте, не хочу показаться навязчивым, но не открывается исттория заказов в приложении. Простите за настойчивость, просто переживаю.",client,technical_issue,technical_issue_issue,neutral,3
4027,1149,1,"Коллеги, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,negative,4
4029,1149,3,"Смотрите, пробовал перезагрузить страницу — не помогло.",client,technical_issue,response,neutral,2
4032,1150,2,"Поиск на сайте перестал показывать результаты. Логи готов приложить, если нужно.",client,technical_issue,response,negative,4
4034,1151,1,"Привет, как обычно, сттраница корзины не загружается уже второй день. Ждём-с...",client,technical_issue,technical_issue_issue,neutral,4
4036,1151,3,"Как обычно, телефон iPhone 13, приложение последней версии. Ну хоть посмеялся, и то дело.",client,technical_issue,response,neutral,2
4038,1152,1,Это уже недопустимо. поиск на сайте перестал показывать результаты.,client,technical_issue,technical_issue_issue,negative,4
4040,1152,3,"Это уже недопустимо. супер, спасибо!",client,technical_issue,gratitude,positive,2
4041,1153,1,"Коллеги, кнопка оформления заказа не работает, ничего не происходит. Логи готов приложить, если нужно.",client,technical_issue,technical_issue_issue,neutral,3
4043,1153,3,"Смотрите, ошибка появляется каждый раз, не только один раз.",client,technical_issue,response,neutral,1
4044,1154,1,"Деточка, приложение постоянно вылетает при открытии каталога.",client,technical_issue,technical_issue_issue,neutral,4
4046,1155,1,"Здасте, сынок, не открывается история заказов в приложении!",client,technical_issue,technical_issue_issue,neutral,4
4048,1155,3,"Сынко, могу прислать скриншот с ошибкой.",client,technical_issue,response,neutral,2
4050,1156,1,"Привет, форма обратной связи не отправляется, выдаёт ошибку.",client,technical_issue,technical_issue_issue,negative,3
4052,1156,3,К делу: переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,1
4054,1157,1,Сайт стал очень медленно работать после обновления. Прошу решить оперативно.,client,technical_issue,technical_issue_issue,neutral,4
4056,1157,3,"Ошибка появляется каждый раз, не только один раз. Прошу решить оперативно.",client,technical_issue,response,neutral,2
4058,1158,1,"Видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,3
4060,1158,3,Переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,1
4062,1159,1,"Деточка, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,neutral,3
4064,1159,3,"Деточка, спасибо, что разобрались так быстро. Внучка обычно помогает, а её сейчас нет рядом.",client,technical_issue,gratitude,positive,1
4066,1160,1,"Здрасте, не приходят уведомления о статусе заказа. Совсем распустились!",client,technical_issue,technical_issue_issue,neutral,4
4068,1160,3,"Ну вот, могу прислать скриншот с ошибкой. В наше время такого бардака не было!",client,technical_issue,response,neutral,2
4071,1161,2,"Здравствуйте, да сколько можно, кнопка оформления заказа не работает, ничеог не происходит!",client,technical_issue,response,negative,3
4074,1162,2,"Здравствуйте, Добрый день. сайт стал очень медленно работать после обновления.",client,technical_issue,response,neutral,3
4076,1162,4,"Принято, спасибо за информацию. Прошу решить оперативно.",client,technical_issue,acknowledgment,neutral,2
4077,1163,1,"Простите, дописываю на бегу, видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,4
4079,1164,1,"Прошу прощения за беспокойство, не приходят уведомления о статусе заказа.",client,technical_issue,technical_issue_issue,neutral,3
4081,1164,3,"Спасибо большое, буду ждать. Буду признателен за скорый ответ.",client,technical_issue,gratitude,positive,1
4083,1165,1,"Меня это очень беспокоит, не получается загрузить фото в личном кабинете!",client,technical_issue,technical_issue_issue,negative,3
4085,1165,3,"Интернет стабильный, проверял на других сайтах.",client,technical_issue,response,neutral,1
4088,1166,2,"Раньеш такого безобразия не было, поиск на сайте перестал показывать результаты.",client,technical_issue,response,negative,3
4090,1166,4,"Ну вот, окей, буду следить за статусом.",client,technical_issue,acknowledgment,neutral,2
4091,1167,1,"Меня это очень беспокоит, форма обратной связи не отправляется, выдаёт ошибку. Надеюсь, всё решаемо.",client,technical_issue,technical_issue_issue,neutral,4
4093,1167,3,"Меня это очень беспокоит, пробовал перезаагрузить страницу — не помогло. Простите за настойчивость, просто переживаю!",client,technical_issue,response,neutral,2
4095,1168,1,"Добрый день, не открывается история заказов в приложении. Уже нервы на предлее.",client,technical_issue,technical_issue_issue,negative,3
4097,1168,3,"Да сколько можно, хорошо, спасибо за ответ. Дети под ногами, времени разбираться нет.",client,technical_issue,gratitude,positive,1
4099,1169,1,"Привет, страница корзины не загружается уже второй день. Дети под ногами, времени разбираться нет.",client,technical_issue,technical_issue_issue,neutral,3
4101,1169,3,"Слушайте, телефон Pixel 7, приложение последней версии. Уже нервы на пределе!",client,technical_issue,response,neutral,1
4103,1170,1,"Здрасте, внезапно (нет), приложение постоянно вылетает при открытии каталога.",client,technical_issue,technical_issue_issue,neutral,4
4105,1170,3,Переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,2
4108,1171,2,"Подскажите, пожалуйста: не получается загрузить фото в личном кабинете.",client,technical_issue,response,negative,4
4110,1171,4,"Понял, ждём. Спасибо, что разбираетесь.",client,technical_issue,acknowledgment,neutral,3
4112,1172,2,"Здрасте, не хочу показаться навязчивым, но кнопка оформления заказа не работает, ничего не происходит.",client,technical_issue,response,neutral,3
4114,1172,4,"Окей, буду следить за статусом.",client,technical_issue,acknowledgment,neutral,2
4116,1173,2,Сайт стал очень медлено работать после обновления! 😢,client,technical_issue,response,neutral,4
4118,1174,1,"Как обычно, поиск на сайте перестал показывать результаты.",client,technical_issue,technical_issue_issue,neutral,3
4120,1175,1,"Добрый день, внезапно (нет), страница корзины не загружается уже второй день. Ждём-с.",client,technical_issue,technical_issue_issue,neutral,4
4122,1175,3,"Ну красота просто, телефон Pixel 7, приложение последней версии. Ждём-с.",client,technical_issue,response,neutral,2
4124,1176,1,"Сынок, видео на саййте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,3
4126,1176,3,"Ошибка появляется каждый раз, не только один раз.",client,technical_issue,response,neutral,1
4128,1177,1,"Сынок, не приходят уведомленяи о статусе заказа...",client,technical_issue,technical_issue_issue,negative,4
4130,1177,3,Вот ведь незадача... пробовал перезагрузить сртаницу — не помогло...,client,technical_issue,response,neutral,2
4132,1178,1,"Не открывается история заказов в приложении. Логи готов приложить, если нужно.",client,technical_issue,technical_issue_issue,neutral,3
4134,1179,1,"Добрый день, Срочно: форма обратной связи не отправляется, выдаёт ошибку. Иначе буду писать жалобу!",client,technical_issue,technical_issue_issue,neutral,4
4136,1179,3,"Интрнет стабильный, проверял на других сайтах!",client,technical_issue,response,neutral,2
4138,1180,1,"Third раз пишу, приложеение постоянно вылетает при открытии каталога!",client,technical_issue,technical_issue_issue,neutral,3
4140,1180,3,"Слушайте, ясно, спс за ответ.",client,technical_issue,gratitude,positive,1
4141,1181,1,Не приходят уведомления о статусе заказа. Заранее благодарен за содействие.,client,technical_issue,technical_issue_issue,neutral,4
4143,1181,3,Не могли бы вы подсказать: могу прислать скриншот с ошибкой. Заранее благодарен за содействие.,client,technical_issue,response,neutral,2
4145,1182,1,"Не хочу показаться навязчивым, но сайт стал очень медленно работать после обновления...",client,technical_issue,technical_issue_issue,neutral,4
4147,1182,3,"Я уже начал переживать, ошибка появляется каждый раз, не только один раз.",client,technical_issue,response,neutral,2
4148,1183,1,"Извините за глуый вопрос, форма обратной связи не отправляется, выдаёт ошибку...",client,technical_issue,technical_issue_issue,neutral,4
4150,1184,1,"Добрый день, Подскажите, пожалуйста: поиск на сайте перетсал показывать результаты.",client,technical_issue,technical_issue_issue,neutral,3
4152,1185,1,Не открывается история заказов в приложении. Иначе буду писать жалобу!,client,technical_issue,technical_issue_issue,neutral,4
4154,1186,1,К делу: приложение постоянно вылетает при открытии каталога.,client,technical_issue,technical_issue_issue,negative,3
4156,1186,3,"Добрый день. понял, спасибо за помощь.",client,technical_issue,gratitude,positive,1
4158,1187,1,"Добрый день, Добрый день. видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,4
4160,1187,3,К делу: пробовал перезагрузить страницу — не помогло. Времени на это у меня немного.,client,technical_issue,response,neutral,2
4161,1188,1,"Привет, кнопка оформления заказа не работает, ничего не происходит.",client,technical_issue,technical_issue_issue,neutral,4
4163,1188,3,Переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,2
4165,1189,1,"Добрый день, страница корзины не загружается уже второй день. Прошу решить оперативно.",client,technical_issue,technical_issue_issue,negative,4
4167,1189,3,Могу прислать скриншот с ошибкой. Времени на это у меня немного.,client,technical_issue,response,neutral,2
4168,1190,1,"Привет, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,neutral,4
4170,1190,3,"Поняла, спасибо огромное 💛",client,technical_issue,gratitude,positive,2
4172,1191,1,"Здрасте, форма обратной связи не отправляется, выдаёт ошибку.",client,technical_issue,technical_issue_issue,neutral,3
4174,1191,3,"Телефон Honor 90, приложение последней версии.",client,technical_issue,response,neutral,1
4176,1192,1,"Ой, поиск на сайте перестал показывать результаты.",client,technical_issue,technical_issue_issue,neutral,4
4178,1193,1,"Ну крассота просто, видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,3
4180,1194,1,"Здрасте, да сколько можно, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,neutral,4
4182,1194,3,"Инттернет стабильный, ПРОВЕРЯЛ на других сайтах. Дети под ногами, времени разбираться нет.",client,technical_issue,response,neutral,2
4184,1195,1,"Извините за глупый вопрос, кнопка оформления заказа не работает, ничего не происходит.",client,technical_issue,technical_issue_issue,neutral,3
4186,1195,3,"Сын подсказал написать вам: спасибо, вопрос решён. Объясните, пожалуйста, попроще...",client,technical_issue,gratitude,positive,1
4187,1196,1,"Здрасте, раньше такого безобразия не быо, сайт стал очень медленно работать после обновления.",client,technical_issue,technical_issue_issue,neutral,3
4189,1196,3,Могу прислтаь скриншот с ошибкой.,client,technical_issue,response,neutral,1
4191,1197,1,"Здрасте, да сколько можно, страница корзины не загружается уже втоорой день.",client,technical_issue,technical_issue_issue,neutral,3
4193,1197,3,"Да сколько можно, спасибо, что разобрлаись так быстро.",client,technical_issue,gratitude,positive,1
4195,1198,1,Прилжоение постоянно вылетает при открытии каталога.,client,technical_issue,technical_issue_issue,neutral,4
4197,1198,3,"Хорошо, спасибо за ответ. Помогите пжалуйста, очень надо!",client,technical_issue,gratitude,positive,2
4199,1199,1,Не могли бы вы подсказать: не приходят уведомления о статусе заказа. Заранее благодарен за содействие.,client,technical_issue,technical_issue_issue,neutral,4
4201,1200,1,"Здрасте, я уже начал переживать, не открывается история зкаазов в приложении...",client,technical_issue,technical_issue_issue,neutral,4
4203,1201,1,Приложение постоянно вылетает при открытии каталоа. Уже нервы на пределе.,client,technical_issue,technical_issue_issue,neutral,4
4205,1201,3,Переустанавливал приложение — ситуцаия та же. Уже нервы на пределе!,client,technical_issue,response,neutral,2
4207,1202,1,"Здрасте, меня это очень беспокоит, не открывается история закзов в приложении.",client,technical_issue,technical_issue_issue,neutral,3
4210,1203,2,"Здрасте, Не могли бы вы подсказать: не приходят уведомления о статусе заказа.",client,technical_issue,response,negative,4
4212,1203,4,"Не могли бы вы подсказать: принято, спасибо за информацию.",client,technical_issue,acknowledgment,neutral,3
4213,1204,1,"Привет, ой, поиск на сайте перестал показывать реззультаты.",client,technical_issue,technical_issue_issue,neutral,3
4215,1204,3,"А можно впрос, ошибка появляется каждый раз, не только один раз. Помогте пожалуйста, очень надо!! 😢",client,technical_issue,response,neutral,1
4217,1205,1,"Здравствуйте, кнопка оформления заказа не работает, ничего не происходит. Простите за настойчивость, просто переживаю.",client,technical_issue,technical_issue_issue,neutral,4
4219,1205,3,"Не хочу показаться навязчиывм, но благодарю, выручили.",client,technical_issue,gratitude,positive,2
4221,1206,1,"Да сколько можно, не получается загрузить фото в личном кабинете.",client,technical_issue,technical_issue_issue,neutral,3
4223,1207,1,"Ой, простите за беспокойство, видео на сайте не воспроизводится, круиттся загрузка. Внучка обычно помогает, а её сейчас нет рядом.",client,technical_issue,technical_issue_issue,neutral,4
4225,1207,3,"Ой, простите за беспокойство, спсибо большое, буду ждать.",client,technical_issue,gratitude,positive,2
4227,1208,1,"Привет, сайт стал очень медленно работать после обновления.",client,technical_issue,technical_issue_issue,neutral,4
4229,1208,3,"Телефон Samsung Galaxy A54, приложение последней версии. Спасибо, что разбираетесь.",client,technical_issue,response,neutral,2
4231,1209,1,"Да сколько можно, страница корзины не загружатся уже второй день. Уже нервы на пределе.",client,technical_issue,technical_issue_issue,neutral,4
4233,1209,3,"Слушайте, пробовал перезагрузить страницу — не помогло.",client,technical_issue,response,neutral,2
4235,1210,1,"Деточка, форма обратной связи не отправляяется, выдаёт ошибку. Внучка обычно помогает, а её сейчас нет рядом!",client,technical_issue,technical_issue_issue,neutral,4
4237,1210,3,"Интернет стабиьлный, проверял на других сайтах...",client,technical_issue,response,neutral,2
4239,1211,1,"Добрый деннь, извините за глупый вопрос, не пиходят уведомления о статусе заказа.",client,technical_issue,technical_issue_issue,neutral,4
4241,1212,1,Добрый день. страница корзины не загружается уже второй день.,client,technical_issue,technical_issue_issue,neutral,3
4243,1213,1,"Привет, не получается загрузить фото в личном кабинете. Буду признателен за скорый ответ.",client,technical_issue,technical_issue_issue,negative,3
4245,1213,3,Не могли бы вы подсказать: могу прислать скриншот с ошибкой.,client,technical_issue,response,neutral,1
4247,1214,1,"Пиоск на сайтте перестал показывать результаты. Помогите пожалуйста, очень надо! 🙂",client,technical_issue,technical_issue_issue,negative,3
4249,1214,3,"Интернет стабильный, проверял на других сайтах. Помогите пожаалуйста, очень надо!!",client,technical_issue,response,neutral,1
4251,1215,1,"Добрый день, видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,technical_issue_issue,neutral,4
4253,1215,3,"Не могли бы вы подсказать: поняла, спасибо огромное.",client,technical_issue,gratitude,positive,2
4254,1216,1,"Добрйы деь, я тут не сильно разбираюсь, но сайт стал очень медленно работать после обновления.",client,technical_issue,technical_issue_issue,neutral,4
4256,1216,3,Переустанавливал приложение — ситуация та же.,client,technical_issue,response,neutral,2
4257,1217,1,"Здрасте, ну красота просто, форма обратнй связи не отправляется, выдаёт ошибку. Ну хоть посмеялся, и то дело.",client,technical_issue,technical_issue_issue,neutral,4
4259,1218,1,"Ну красота просто, не открывается история заказов в приложении.",client,technical_issue,technical_issue_issue,negative,4
4261,1219,1,"Добрый день, я тут не сильно разбираюсь, но приложение постоянно вылетает при открытии кталога. Я в этих ваших приложениях не очень.",client,technical_issue,technical_issue_issue,neutral,4
4263,1219,3,"Я тут не сильно разбираюсь, но телефон Xiaomi Redmi Note 12, приложение последней версии.",client,technical_issue,response,neutral,2
4266,1220,2,"Да солько можно, кнопка оформления заказа не работает, ничего не происходит!",client,technical_issue,response,neutral,3
4268,1221,1,Это уже недопусттимо. страница корзины не загружается уже второй день!,client,technical_issue,technical_issue_issue,neutral,3
4270,1221,3,"Это уже недопустимо. ошибка появляется каждый раз, не только один раз.",client,technical_issue,response,neutral,1
4271,1222,1,"Здрасте, да сколько можно, не приходят уведомления о статусе заказа. Дети под ногами, времени разбираться нет.",client,technical_issue,technical_issue_issue,neutral,3
4273,1223,1,"Добрый день, форам обратной связи не отправляется, выдаёт ошибку.",client,technical_issue,technical_issue_issue,neutral,3
4275,1223,3,"Извините, ребёнок плачет, отвлеклась, пробовал перезагрузить страницу — не помогло.",client,technical_issue,response,neutral,1
4277,1224,1,"Добрый днь, бро, приложение постоянно вылетает при открытии каталлога.",client,technical_issue,technical_issue_issue,neutral,3
4279,1224,3,"Ясно, спс за ответ. это вообще норм?!",client,technical_issue,gratitude,positive,1
4282,1225,2,"Добрый день! видео на сайте не воспроизводится, крутится загрузка.",client,technical_issue,response,neutral,3
4284,1225,4,"Добрый день! хорошо, поняла, буду ждать. Спасибо, что разбираетесь.",client,technical_issue,acknowledgment,neutral,2
4285,1226,1,Вот вдеь незадача... поиск на сайте перестал показывать результаты.,client,technical_issue,technical_issue_issue,neutral,3
4287,1226,3,"Деточчка, понял, спасибо за помощь. Внучка обычно помогает, а её сейчас нет рядом...",client,technical_issue,gratitude,positive,1
4288,1227,1,"Здравствуйте, ой, простите за беспокойство, не получается загрузить фото в личном кабинете...",client,technical_issue,technical_issue_issue,neutral,4
4290,1227,3,"Деточка, интернет стабильный, проверял на других сайтах. Вы уж извините, я в этом плохо разбираюсь.",client,technical_issue,response,neutral,2
4293,1228,2,"Сын подсказал написать вам: кнопка оформленяи заказа не работает, ничего не происходит. Я в этиих ваших приложениях не очень...",client,technical_issue,response,neutral,4
